,region_name,year,log_numeracy_std,N_est_log_std,N_est,numeracy_weighted
157,Nordic countries,1870,1.0620861410058655,1.2321267097596003,12981.993681392483,99.38525440729484
158,Nordic countries,1880,1.0631972283948619,1.2869601361825551,19787.809958965903,99.86456756321839
196,Persian world,1880,0.8526753504486004,0.8501137117393796,688.6938882316256,40.1339
197,Portugal,1520,0.7611349856659658,0.5871262370336571,91.21511234527618,27.0
198,Portugal,1570,0.8400579889436862,0.4367614016332901,28.71360099215147,38.0
199,Portugal,1620,0.8739143470597639,0.6186248064188914,116.20421104832049,44.0
200,Portugal,1670,0.9377118341347117,0.7588490970646217,341.4662060531541,58.0
201,Portugal,1720,1.001310947625294,0.7372666127940235,289.265470941272,76.3889
202,Portugal,1730,1.0021959518920602,0.7195389668236033,252.41460764422342,76.6822
203,Portugal,1740,1.0030775775792546,0.8518788370829442,698.1020881530604,76.9755
204,Portugal,1750,1.0039558503848378,0.811844826393024,513.1792460098252,77.2688
205,Portugal,1760,1.0048307957146871,0.7352091589585531,284.72655662816726,77.5621
206,Portugal,1770,1.0057024386870064,0.7861477825638489,421.19370648176186,77.8554
207,Portugal,1780,1.0065708041366537,0.8687691108295944,794.8873001302246,78.1487
208,Portugal,1790,1.0074359166193851,0.8530424139216263,704.3741852378843,78.442
209,Portugal,1860,1.0372388907698609,0.9385175556390424,1358.7961545030248,89.24729999999998
210,Portugal,1870,1.042388633924672,0.8968090956047031,986.0852478275981,91.2598
211,Portugal,1880,1.0451873594113106,0.999347695587327,2168.853020232981,92.3725
250,Spain,1520,0.8210660617738564,0.8776544083538069,851.0759234968052,35.0
251,Spain,1570,0.8841799618467594,0.8352610462092924,614.3869391369698,46.0
252,Spain,1620,0.9811402980874708,1.0141281697311884,2429.815910042001,70.0
253,Spain,1670,0.9568085189869474,0.9398845544681362,1373.1497704561418,63.0
254,Spain,1710,1.016245991109312,0.9593175715680368,1594.3851624358815,81.4923
255,Spain,1720,1.0057246844641967,0.9841991443096382,1930.447877693622,77.8629
256,Spain,1830,1.0332778804813132,0.9805459712633413,1876.9914692621721,87.7296
257,Spain,1840,1.0318885473811774,1.160842782231032,7505.274401671756,87.2034
258,Spain,1850,1.0323835082447794,1.1572730275949663,7302.125260212515,87.3905
259,Spain,1860,1.0367438659683579,1.2053628842264494,10568.000618917862,89.0562
260,Spain,1870,1.0426233504797964,1.1881330609550038,9257.05094860068,91.3526
261,Spain,1880,1.0485961817206868,1.2568090749983098,15694.272664260892,93.7461
262,United Kingdom,1620,1.0001322252573004,0.9611818654912699,1617.3984308843835,76.0
263,United Kingdom,1720,1.0467508528215594,1.0443457761397719,3065.1523374788585,93.0
264,United Kingdom,1770,1.0467508528215594,1.0816671339570074,4083.626138883562,93.0
265,United Kingdom,1780,1.0495438923031617,1.1320002481732032,6012.82321368671,94.1316
266,United Kingdom,1790,1.0439273901429418,1.0996963868889111,4690.671003651324,91.8699
267,United Kingdom,1800,1.0423861033518218,1.1580021058403662,7343.164191192906,91.2588
268,United Kingdom,1810,1.0462330205450543,1.135641520353887,6183.501727849928,92.7917
269,United Kingdom,1820,1.0504857749301826,1.1765206785217863,8466.536522120427,94.5163
270,United Kingdom,1830,1.0618225927050764,1.1607054422089906,7497.355051766423,99.2719
271,United Kingdom,1840,1.0535259962279244,1.225090341293547,12298.47113569014,95.7688
272,United Kingdom,1850,1.056789109843738,1.22557211240578,12344.10123106204,97.1316
273,United Kingdom,1860,1.0575365992717263,1.2550210514711486,15480.03869336164,97.4465
274,United Kingdom,1870,1.0572971154008537,1.2193174369100521,11764.644742003877,97.3455
275,United Kingdom,1880,1.0583213597053465,1.2798498397943765,18735.30044625974,97.7782
