,region_name,year,log_height_std,N_est_log_std
92,Italy,1740,1.0034965417955792,1.1750159294750793
93,Italy,1750,1.001391407257343,1.117771655645422
94,Italy,1760,1.0008026079391812,1.1548341283824195
95,Italy,1770,0.999856830130154,1.142662092026218
96,Italy,1780,0.9997382859995444,1.1769121638254658
97,Italy,1790,1.0006846352777503,1.123617653912805
98,Italy,1800,0.999025509875848,1.174602644928672
99,Italy,1810,0.9985488799977732,1.1585217152936411
100,Italy,1820,1.000566591484171,1.1889361048000524
101,Italy,1830,0.9985488799977732,1.169420932031907
102,Italy,1840,0.9960273559415754,1.252397130439393
103,Italy,1850,0.997111988221214,1.239535433892783
104,Italy,1860,0.9973522037430324,1.2850393455236886
105,Italy,1870,0.9978317523617888,1.248584116671424
106,Italy,1880,0.9983101292051104,1.2872594403806388
107,Japan,1880,0.9908723291718704,0.8809923505890492
108,Korea,1870,0.9977239562909436,0.3114019967107364
109,Korea,1880,0.9947939145602706,0.5829306700020392
110,Low countries,1760,1.004875942952565,0.92950916719561
111,Low countries,1770,1.0038568187900336,0.904305207057029
112,Low countries,1780,1.0003421119997729,0.9679539858725418
113,Low countries,1790,0.9994772359720272,0.9260225168901128
114,Low countries,1810,0.998771914052199,0.9518246372149076
115,Low countries,1820,0.9987472517169128,0.9904473587055156
116,Low countries,1830,0.9985280013904694,1.0108908944318995
117,Low countries,1840,0.9994432990504438,1.0912138728790908
118,Low countries,1850,1.0005330595111974,1.105929458293209
119,Low countries,1860,1.001460561488271,1.1363981252223052
120,Low countries,1870,1.0017524398428108,1.1190079348539206
121,Low countries,1880,1.0037290544425297,1.165950420616483
122,Nordic countries,1730,1.0037290544425297,0.8689964792465757
123,Nordic countries,1740,1.0048874934777003,0.9753616122476252
124,Nordic countries,1750,1.0034965417955792,0.9719078442957004
125,Nordic countries,1760,1.0031472542350957,1.0122758062783637
126,Nordic countries,1770,1.001978441057659,0.967328489977788
127,Nordic countries,1780,1.0017438387219522,1.0304395826615378
128,Nordic countries,1790,1.0029140491739057,1.0519348097220669
129,Nordic countries,1800,1.0020956368861935,1.053002889880588
130,Nordic countries,1810,1.0059140305370575,1.0488076680990732
131,Nordic countries,1820,1.0033942801215296,1.075932737326353
132,Nordic countries,1830,1.0031534697038758,1.067060872243548
133,Nordic countries,1840,1.0030638421273228,1.1309855408206528
134,Nordic countries,1850,1.003516810257298,1.141214773035535
135,Nordic countries,1860,1.004018901264217,1.1743324666302513
136,Nordic countries,1870,1.005220869929045,1.174435697652061
137,Nordic countries,1880,1.0063430622790752,1.2267016966808948
171,Persian world,1850,1.0000108302672424,0.6580215295110909
172,Persian world,1870,1.0034500061106155,0.6864258548072374
173,Persian world,1880,0.9998449789466568,0.8103094285854895
174,Portugal,1720,0.9979514562027056,0.7027460908799393
175,Portugal,1730,0.9987873399855008,0.6858484941489494
176,Portugal,1740,0.999500982181738,0.8119919066925644
177,Portugal,1750,0.9996196700457672,0.7738323806454422
178,Portugal,1760,0.9997382859995444,0.7007849717746494
179,Portugal,1770,0.9989064611487256,0.7493385316297015
180,Portugal,1780,0.9981906445351092,0.8280913388971074
181,Portugal,1790,0.9975921248830102,0.8131010021820826
182,Portugal,1800,0.9987873399855008,0.813408405448422
183,Portugal,1810,1.0002037517362738,0.7485522319691109
184,Portugal,1820,1.001200830136515,0.7824831819851964
185,Portugal,1830,0.9999658273708224,0.7182016342560119
186,Portugal,1840,0.9978784455662032,0.8723638629946614
187,Portugal,1850,0.9986204484963658,0.801804027862645
188,Portugal,1860,0.9985083128988153,0.8945740007784594
189,Portugal,1870,0.9992491256919585,0.8548184269641563
190,Portugal,1880,0.9986216410830462,0.9525559333853544
217,Spain,1740,0.9975921248830102,1.0244831682762512
218,Spain,1750,0.9979514562027056,0.9714347609946976
219,Spain,1760,0.9974722010656492,1.004818843242268
220,Spain,1770,0.9987873399855008,0.9616722790695384
221,Spain,1780,0.9975921248830102,1.0162968213800962
222,Spain,1830,0.9948151190918484,0.9346345491246316
223,Spain,1840,0.998071086897366,1.1064894478911678
224,Spain,1850,0.9966306711361972,1.1030868373940117
225,Spain,1860,0.9968714775942576,1.1489250161102271
226,Spain,1870,0.996751111389593,1.1325019328721648
227,Spain,1880,0.9983101292051104,1.1979623776673674
228,United Kingdom,1710,1.0031472542350957,0.9231408880887616
229,United Kingdom,1720,0.9981906445351092,0.995447100103853
230,United Kingdom,1730,1.0002120324514567,0.954763920933454
231,United Kingdom,1740,1.0048874934777003,1.0112227418063515
232,United Kingdom,1750,1.0052336927292245,0.9774563245008752
233,United Kingdom,1760,1.0052336927292245,1.03207150527788
234,United Kingdom,1770,1.0034965417955792,1.0310209859373636
235,United Kingdom,1780,1.0025637198963129,1.0789973877483692
236,United Kingdom,1790,1.0008026079391812,1.0482060676968177
237,United Kingdom,1810,1.005118360987615,1.0824681671738852
238,United Kingdom,1820,1.0044249401007557,1.1214332689463424
239,United Kingdom,1830,1.0016264320463375,1.1063585384454715
240,United Kingdom,1840,1.001391407257343,1.1677287881735878
241,United Kingdom,1850,1.000330290157088,1.1681880016520572
242,United Kingdom,1860,1.001508954919668,1.196258073522423
243,United Kingdom,1870,1.002154208502403,1.1622261844775512
244,United Kingdom,1880,1.0030889790074826,1.219924320755985
