,region_name,year,log_Gender_equality_num_std,N_est_log_std,N_est,Gender_equality_num_weighted
94,Spain,1830,0.9932316819796249,0.8641738155648997,1876.9914692621721,112.45132
95,Spain,1840,0.9931243552690305,1.0230728245194611,7505.274401671756,112.39395
96,Spain,1850,0.9985752994105829,1.0199267318579361,7302.125260212515,115.34500999999999
97,Spain,1860,0.9998263685547306,1.0623092372305851,10568.000618917862,116.03318
98,Spain,1870,0.9996121044335773,1.0471242662507847,9257.05094860068,115.91503
99,Spain,1880,0.9994306389608546,1.10764974372241,15694.272664260892,115.81506
100,United Kingdom,1810,1.0072915913044502,1.000862473070703,6183.501727849928,120.225734
101,United Kingdom,1820,1.0012743460103368,1.0368900527317764,8466.536522120427,116.83479
102,United Kingdom,1830,1.0068179140480178,1.022951784145674,7497.355051766423,119.955267
103,United Kingdom,1840,1.010555621953857,1.079695420382306,12298.47113569014,122.10613000000002
