,region_name,year,log_wellbeing_std,N_est_log_std
110,Persian world,1870,-0.86293187646752,0.7542293118124347
111,Persian world,1880,-1.3032760225231,0.8903498001962455
112,Portugal,1820,1.3754615080736698,0.8597749454225193
113,Portugal,1830,1.6675628684510395,0.7891438245716942
114,Portugal,1840,1.4270797299011504,0.9585338189530608
115,Portugal,1850,1.745301075430011,0.8810042569173121
116,Portugal,1860,1.6105206833209234,0.9829378194996856
117,Portugal,1870,0.2811536652121835,0.9392552879215436
118,Portugal,1880,0.7212738570035941,1.0466470647464778
140,Spain,1820,2.201023546411489,1.1144816697921691
141,Spain,1830,1.4137359955049198,1.026955450243573
142,Spain,1840,2.146838609147503,1.2157857530658345
143,Spain,1850,2.217809651574537,1.2120470410758022
144,Spain,1860,2.1813195801583043,1.2624130023019793
145,Spain,1870,1.7160526749017382,1.2443676873102232
146,Spain,1880,1.688514563144269,1.3162941537786024
147,United Kingdom,1820,1.4193632988570624,1.2322056879959626
148,United Kingdom,1830,1.583548194860744,1.2156419127071918
149,United Kingdom,1840,1.9666112437984329,1.2830741647035746
150,United Kingdom,1850,2.17183068204744,1.2835787381595647
151,United Kingdom,1860,2.5676445937809413,1.3144215026636157
152,United Kingdom,1870,2.874543639091116,1.2770280273534549
153,United Kingdom,1880,3.4727539666717187,1.3404254435687333
