,region_name,decade,n_new_cultural_producers,score,pop (millions),n_new_cultural_producers_per_million_hab
322,Chinese world,1280,74.9,15,83.64,0.895504543280727
323,Chinese world,1290,21.2,5,84.52,0.2508282063416943
324,Chinese world,1300,41.9,8,85.4,0.4906323185011709
325,Chinese world,1310,66.2,12,86.28,0.7672693555864627
326,Chinese world,1320,96.6,12,87.16,1.1083065626434143
327,Chinese world,1330,41.4,8,88.04,0.4702407996365288
328,Chinese world,1340,46.1,9,88.92,0.5184435447593342
329,Chinese world,1350,57.2,9,89.8,0.6369710467706013
330,Chinese world,1360,48.3,8,90.68,0.5326422584913982
331,Chinese world,1370,48.3,9,91.56,0.5275229357798165
332,Chinese world,1380,77.2,16,92.44,0.8351363046300303
333,Chinese world,1390,68.8,11,93.32,0.7372481783111874
334,Chinese world,1400,105.0,17,94.2,1.1146496815286624
335,Chinese world,1410,39.7,6,95.08,0.4175431215818259
336,Chinese world,1420,21.3,2,95.96,0.22196748645268866
337,Chinese world,1430,67.9,8,96.84,0.701156546881454
338,Chinese world,1440,61.4,9,97.72,0.6283258288988948
339,Chinese world,1450,11.3,2,98.6,0.11460446247464505
340,Chinese world,1460,69.0,9,99.48,0.6936067551266586
341,Chinese world,1470,45.3,6,100.36,0.45137504982064564
342,Chinese world,1480,53.0,8,101.24,0.5235084946661399
343,Chinese world,1490,26.2,3,102.12,0.25656090873482174
344,Chinese world,1500,73.3,10,103.6573,0.7071378475032631
345,Chinese world,1510,45.2,5,108.7,0.4158233670653174
346,Chinese world,1520,136.5,16,114.4,1.1931818181818181
347,Chinese world,1530,138.6,16,120.1,1.1540383014154871
348,Chinese world,1540,115.9,14,125.8,0.9213036565977744
349,Chinese world,1550,137.1,16,131.5,1.0425855513307984
350,Chinese world,1560,71.8,8,137.2,0.5233236151603499
351,Chinese world,1570,103.3,6,142.9,0.7228831350594821
352,Chinese world,1580,90.3,9,148.6,0.607671601615074
353,Chinese world,1590,47.7,6,154.3,0.30913804277381723
354,Chinese world,1600,93.8,13,158.92270000000002,0.5902240523222925
355,Chinese world,1610,102.7,12,157.8,0.6508238276299112
356,Chinese world,1620,263.6,27,155.6,1.694087403598972
357,Chinese world,1630,205.9,22,153.4,1.3422425032594525
358,Chinese world,1640,271.5,31,151.2,1.7956349206349207
359,Chinese world,1650,339.9,32,149.0,2.281208053691275
360,Chinese world,1660,793.4,78,146.8,5.4046321525885554
361,Chinese world,1670,295.0,31,144.6,2.0401106500691566
362,Chinese world,1680,440.1,46,142.4,3.0905898876404496
363,Chinese world,1690,210.8,21,140.2,1.5035663338088447
364,Chinese world,1700,391.2,41,141.0614,2.773260438362302
365,Chinese world,1710,217.6,18,158.25,1.375039494470774
366,Chinese world,1720,99.3,10,178.5,0.5563025210084034
367,Chinese world,1730,219.6,23,198.75,1.1049056603773584
368,Chinese world,1740,201.5,18,219.0,0.9200913242009132
369,Chinese world,1750,125.7,13,239.25,0.5253918495297806
370,Chinese world,1760,249.3,27,259.5,0.9606936416184971
371,Chinese world,1770,308.4,36,279.75,1.1024128686327077
372,Chinese world,1780,331.5,38,300.0,1.105
373,Chinese world,1790,300.4,35,320.25,0.9380171740827478
374,Chinese world,1800,550.5,62,340.5,1.6167400881057268
375,Chinese world,1810,227.9,27,360.75,0.6317394317394317
376,Chinese world,1820,259.5,33,247.8698,1.0469206010574907
377,Chinese world,1830,434.8,51,204.10520000000002,2.1302739959589463
378,Chinese world,1840,369.3,39,206.8616,1.7852515885016842
379,Chinese world,1850,359.6,33,205.0951,1.7533329660240542
