,region_name,decade,N_est,N_est_min,N_est_max,score,f>3
2212,Southwestern Europe,-180,14.525973215492538,11.65913929690154,17.628917019967957,3.0,1.0
2213,Southwestern Europe,-160,68.6298660774627,54.2956964845077,84.14458509983979,11.0,1.0
2214,Southwestern Europe,-150,27.051946430985076,21.31827859380308,33.257834039935915,4.0,0.0
2215,Southwestern Europe,-140,27.051946430985076,21.31827859380308,33.257834039935915,4.0,0.0
2216,Southwestern Europe,-130,17.313832615243886,13.900765878063869,29.368770772991777,3.0,1.0
2217,Southwestern Europe,-120,106.03991199908526,83.85497820741514,184.39701002444656,13.0,0.0
2218,Southwestern Europe,-110,24.47074892286583,19.351148817095805,42.55315615948766,3.0,0.0
2219,Southwestern Europe,-100,97.88299569146332,77.40459526838322,170.21262463795065,12.0,0.0
2220,Southwestern Europe,-90,8.156916307621943,6.450382939031934,14.184385386495888,1.0,0.0
2221,Southwestern Europe,-80,49.94149784573166,39.70229763419161,86.10631231897533,7.0,1.0
2222,Southwestern Europe,-70,49.94149784573166,39.70229763419161,86.10631231897533,7.0,1.0
2223,Southwestern Europe,-60,205.92290769054858,163.25957347579836,356.6096346623972,27.0,2.0
2224,Southwestern Europe,-50,44.78458153810971,36.25191469515967,74.92192693247944,9.0,4.0
2225,Southwestern Europe,-40,49.94149784573166,39.70229763419161,86.10631231897533,7.0,1.0
2226,Southwestern Europe,-30,60.0984141533536,48.15268057322354,102.29069770547122,10.0,3.0
2227,Southwestern Europe,-20,216.07982399817053,171.7099564148303,372.7940200488931,30.0,4.0
2228,Southwestern Europe,0,16.313832615243886,12.900765878063869,28.368770772991777,2.0,0.0
2229,Southwestern Europe,10,8.156916307621943,6.450382939031934,14.184385386495888,1.0,0.0
2230,Southwestern Europe,20,8.156916307621943,6.450382939031934,14.184385386495888,1.0,0.0
2231,Southwestern Europe,30,18.313832615243886,14.900765878063869,30.368770772991777,4.0,2.0
2232,Southwestern Europe,40,58.0984141533536,46.15268057322354,100.29069770547122,8.0,1.0
2233,Southwestern Europe,50,24.47074892286583,19.351148817095805,42.55315615948766,3.0,0.0
2234,Southwestern Europe,60,43.78458153810971,35.25191469515967,73.92192693247944,8.0,3.0
2235,Southwestern Europe,70,26.47074892286583,21.351148817095805,44.55315615948766,5.0,2.0
2236,Southwestern Europe,80,125.35374461432914,99.75574408547901,215.76578079743834,18.0,3.0
2237,Southwestern Europe,100,50.94149784573166,40.70229763419161,87.10631231897533,8.0,2.0
2238,Southwestern Europe,110,9.156916307621943,7.450382939031934,15.184385386495888,2.0,1.0
2239,Southwestern Europe,120,32.62766523048777,25.801531756127737,56.737541545983554,4.0,0.0
2240,Southwestern Europe,130,9.156916307621943,7.450382939031934,15.184385386495888,2.0,1.0
2241,Southwestern Europe,140,156.9814098448169,124.55727584160675,271.50332234342187,21.0,2.0
2242,Southwestern Europe,150,10.156916307621943,8.450382939031934,16.18438538649589,3.0,2.0
2243,Southwestern Europe,160,10.472055665526652,8.583418642695786,11.81855599983124,2.0,0.0
2244,Southwestern Europe,170,5.236027832763326,4.291709321347893,5.90927799991562,1.0,0.0
2245,Southwestern Europe,180,47.12425049486993,38.62538389213104,53.183501999240576,9.0,0.0
2246,Southwestern Europe,200,50.12425049486993,41.62538389213104,56.183501999240576,12.0,3.0
2247,Southwestern Europe,220,11.472055665526652,9.583418642695786,12.81855599983124,3.0,1.0
2248,Southwestern Europe,230,5.236027832763326,4.291709321347893,5.90927799991562,1.0,0.0
2249,Southwestern Europe,240,71.06836182592323,58.79222117752261,79.82061399890306,16.0,3.0
2250,Southwestern Europe,250,10.472055665526652,8.583418642695786,11.81855599983124,2.0,0.0
2251,Southwestern Europe,280,52.36027832763326,42.917093213478935,59.0927799991562,10.0,0.0
2252,Southwestern Europe,300,22.944111331053303,19.166837285391573,25.63711199966248,6.0,2.0
2253,Southwestern Europe,310,5.236027832763326,4.291709321347893,5.90927799991562,1.0,0.0
2254,Southwestern Europe,340,58.59630616039659,48.20880253482682,66.00205799907182,12.0,1.0
2255,Southwestern Europe,350,5.236027832763326,4.291709321347893,5.90927799991562,1.0,0.0
2256,Southwestern Europe,360,20.944111331053303,17.166837285391573,23.63711199966248,4.0,0.0
2257,Southwestern Europe,380,27.18013916381663,22.458546606739468,30.5463899995781,6.0,1.0
2258,Southwestern Europe,390,16.708083498289977,13.87512796404368,18.72783399974686,4.0,1.0
2259,Southwestern Europe,400,34.41616699657995,28.75025592808736,38.45566799949372,9.0,3.0
2260,Southwestern Europe,420,16.708083498289977,13.87512796404368,18.72783399974686,4.0,1.0
2261,Southwestern Europe,440,74.30438965868656,61.0839304988705,83.72989199881869,15.0,1.0
2262,Southwestern Europe,460,15.883162199033238,13.796264480495193,22.36601839880367,2.0,0.0
2263,Southwestern Europe,480,7.941581099516619,6.898132240247596,11.183009199401836,1.0,0.0
2264,Southwestern Europe,500,23.82474329854986,20.694396720742787,33.549027598205505,3.0,0.0
2265,Southwestern Europe,510,8.941581099516618,7.898132240247596,12.183009199401836,2.0,1.0
2266,Southwestern Europe,530,7.941581099516619,6.898132240247596,11.183009199401836,1.0,0.0
2267,Southwestern Europe,540,32.76632439806647,28.592528960990386,45.73203679760734,5.0,1.0
2268,Southwestern Europe,550,7.941581099516619,6.898132240247596,11.183009199401836,1.0,0.0
2269,Southwestern Europe,580,7.941581099516619,6.898132240247596,11.183009199401836,1.0,0.0
2270,Southwestern Europe,590,7.941581099516619,6.898132240247596,11.183009199401836,1.0,0.0
2271,Southwestern Europe,600,8.941581099516618,7.898132240247596,12.183009199401836,2.0,1.0
2272,Southwestern Europe,610,7.941581099516619,6.898132240247596,11.183009199401836,1.0,0.0
2273,Southwestern Europe,710,7.941581099516619,6.898132240247596,11.183009199401836,1.0,0.0
2274,Southwestern Europe,740,8.508715230592978,7.610646076744267,9.54880822761931,1.0,0.0
2275,Southwestern Europe,750,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2276,Southwestern Europe,780,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2277,Southwestern Europe,820,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2278,Southwestern Europe,840,34.03486092237191,30.442584306977068,38.19523291047724,4.0,0.0
2279,Southwestern Europe,850,8.508715230592978,7.610646076744267,9.54880822761931,1.0,0.0
2280,Southwestern Europe,860,8.508715230592978,7.610646076744267,9.54880822761931,1.0,0.0
2281,Southwestern Europe,880,8.508715230592978,7.610646076744267,9.54880822761931,1.0,0.0
2282,Southwestern Europe,890,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2283,Southwestern Europe,900,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2284,Southwestern Europe,940,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2285,Southwestern Europe,950,8.508715230592978,7.610646076744267,9.54880822761931,1.0,0.0
2286,Southwestern Europe,970,8.508715230592978,7.610646076744267,9.54880822761931,1.0,0.0
2287,Southwestern Europe,980,8.508715230592978,7.610646076744267,9.54880822761931,1.0,0.0
2288,Southwestern Europe,990,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2289,Southwestern Europe,1000,17.017430461185956,15.221292153488534,19.09761645523862,2.0,0.0
2290,Southwestern Europe,1020,18.129245865348718,16.515363662488372,19.94173144407738,2.0,0.0
2291,Southwestern Europe,1030,9.064622932674359,8.257681831244186,9.97086572203869,1.0,0.0
2292,Southwestern Europe,1040,82.58160639406923,75.31913648119767,90.73779149834822,10.0,1.0
2293,Southwestern Europe,1050,27.193868798023075,24.77304549373256,29.912597166116072,3.0,0.0
2294,Southwestern Europe,1060,18.129245865348718,16.515363662488372,19.94173144407738,2.0,0.0
2295,Southwestern Europe,1070,9.064622932674359,8.257681831244186,9.97086572203869,1.0,0.0
2296,Southwestern Europe,1080,46.3231146633718,42.28840915622093,50.85432861019345,6.0,1.0
2297,Southwestern Europe,1090,10.064622932674359,9.257681831244186,10.97086572203869,2.0,1.0
2298,Southwestern Europe,1100,73.51698346139487,67.06145464995349,80.76692577630952,9.0,1.0
2299,Southwestern Europe,1110,36.258491730697436,33.030727324976745,39.88346288815476,4.0,0.0
2300,Southwestern Europe,1120,54.38773759604615,49.54609098746512,59.825194332232144,6.0,0.0
2301,Southwestern Europe,1130,9.064622932674359,8.257681831244186,9.97086572203869,1.0,0.0
2302,Southwestern Europe,1140,208.48632745151025,189.92668211861627,229.32991160688988,23.0,0.0
2303,Southwestern Europe,1150,45.3231146633718,41.28840915622093,49.85432861019345,5.0,0.0
