,individual_wikidata_id,individual_name,score,productive_year,birthyear,country_name,region_name,period
4392,Q6564648,Hosoi Heishū,11,1763.0,1728.0,Japan,Japan,1700
4393,Q6538196,Yokoyama Yoshikiyo,9,1861.0,1826.0,Japan,Japan,1800
4394,Q11675017,Chokyosai Eiri,11,1794.0,1759.0,Japan,Japan,1750
4395,Q18336751,Kaichiro Kashiwagi,4,1876.0,1841.0,Japan,Japan,1800
4396,Q11457593,Jitsukawa Enjaku I,2,1866.0,1831.0,Japan,Japan,1800
4397,Q46837544,Yūji Ōuchi,3,1732.0,1697.0,Japan,Japan,1650
4398,Q5986161,Ichikawa Danjūrō II,12,1723.0,1688.0,Japan,Japan,1650
4399,Q3122703,Mochizuki Gyokusen,4,1829.0,1794.0,Japan,Japan,1750
4400,Q4408918,Gisuke Sasamori,12,1880.0,1845.0,Japan,Japan,1800
4401,Q29410653,Kanō Ryōshin,3,1883.0,1848.0,Japan,Japan,1800
4402,Q11624285,Fujimura Yōken,8,1648.0,1613.0,Japan,Japan,1600
4403,Q11357486,San'yūtei Enshō IV,1,1881.0,1846.0,Japan,Japan,1800
4404,Q11674944,Torii Kiyotsune,13,1779.0,1757.0,Japan,Japan,1750
4405,Q559747,Yoshida Shōin,32,1859.0,1830.0,Japan,Japan,1800
4406,Q11511324,Hayakawa Shōzan,5,1885.0,1850.0,Japan,Japan,1850
4407,Q3181548,Kutsuki Masatsuna,11,1785.0,1750.0,Japan,Japan,1750
4408,Q11480518,Ichimura Uzaemon VIII,2,1733.0,1698.0,Japan,Japan,1650
4409,Q11630678,Suminokura Soan,8,1606.0,1571.0,Japan,Japan,1550
4410,Q11603122,Mitsukuri Shōgo,7,1847.0,1821.0,Japan,Japan,1800
4411,Q1059336,Fujiwara no Sanekata,6,999.0,1000.0,Japan,Japan,1000
4412,Q3200273,Kujō Sukezane,4,1704.0,1669.0,Japan,Japan,1650
4413,Q244764,Hasekura Tsunenaga,22,1606.0,1571.0,Japan,Japan,1550
4414,Q3791358,Maeno Ryōtaku,15,1758.0,1723.0,Japan,Japan,1700
4415,Q726163,Kambei Mori,7,1635.0,1600.0,Japan,Japan,1600
4416,Q28034023,Kunii Ôbun,6,1868.0,1833.0,Japan,Japan,1800
4417,Q6531189,Kawamoto Kōmin,14,1845.0,1810.0,Japan,Japan,1800
4418,Q2743452,Chūgan Engetsu,8,1335.0,1300.0,Japan,Japan,1300
4419,Q11668912,Kōzō Takahara,1,1880.0,1845.0,Japan,Japan,1800
4420,Q11575579,Tanaka Noritada,2,1873.0,1838.0,Japan,Japan,1800
4421,Q11458663,Sonchō-hosshinnō,5,1587.0,1552.0,Japan,Japan,1550
4422,Q11624497,Fujisawa Nangaku,10,1877.0,1842.0,Japan,Japan,1800
4423,Q26254229,Suzuki Nanrei,10,1810.0,1775.0,Japan,Japan,1750
4424,Q47470160,Tarō Hoshino,5,1885.0,1850.0,Japan,Japan,1850
4425,Q11640229,Itsunen Shoyu,8,1636.0,1601.0,Japan,Japan,1600
4426,Q2895619,Ben no Naishi,9,1201.0,1220.0,Japan,Japan,1200
4427,Q3552727,Utagawa Sadahide,32,1842.0,1807.0,Japan,Japan,1800
4428,Q16185965,Shōun Genkei,7,1683.0,1648.0,Japan,Japan,1600
4429,Q11562124,Watanabe Nangaku,14,1802.0,1767.0,Japan,Japan,1750
4430,Q11364308,Nakayama Koyo,12,1752.0,1717.0,Japan,Japan,1700
4431,Q843245,Tokugawa Mitsutomo,4,1660.0,1625.0,Japan,Japan,1600
4432,Q6357046,Kameya Tokujirō,4,1860.0,1825.0,Japan,Japan,1800
4433,Q101096592,Yosano Reigon,6,1858.0,1823.0,Japan,Japan,1800
4434,Q6463981,Ono Tomogorō,8,1852.0,1817.0,Japan,Japan,1800
4435,Q284038,Matsudaira Sadanobu,22,1794.0,1759.0,Japan,Japan,1750
4436,Q3514137,Takahashi Yuichi,27,1863.0,1828.0,Japan,Japan,1800
4437,Q3100970,Maeda Genzō,4,1866.0,1831.0,Japan,Japan,1800
4438,Q1240575,Itō Jakuchū,45,1751.0,1716.0,Japan,Japan,1700
4439,Q11534307,Yanagawa Shigenobu II,5,1855.0,1820.0,Japan,Japan,1800
4440,Q11551410,Ema Saikō,21,1822.0,1787.0,Japan,Japan,1750
4441,Q3090680,Shunzei's Daughter,15,1206.0,1171.0,Japan,Japan,1150
4442,Q1692314,Shōtetsu,18,1416.0,1381.0,Japan,Japan,1350
4443,Q6960247,Nakamura Utaemon III,14,1813.0,1778.0,Japan,Japan,1750
4444,Q2706164,Tenshō Shūbun,15,1449.0,1414.0,Japan,Japan,1400
4445,Q1841252,Nakamura Nakazo I,11,1771.0,1736.0,Japan,Japan,1700
4446,Q107642902,Senjō Jitsugan,3,1758.0,1723.0,Japan,Japan,1700
4447,Q6563024,Shiba Shunson,4,1865.0,1830.0,Japan,Japan,1800
4448,Q11372875,Tsutomu Inoue,10,1885.0,1850.0,Japan,Japan,1850
4449,Q11569675,Kataoka Nizaemon VIII,3,1845.0,1810.0,Japan,Japan,1800
4450,Q11544237,Tachibanaya Ensaburō,1,1863.0,1828.0,Japan,Japan,1800
4451,Q11575953,Tanaka Totsugen,12,1802.0,1767.0,Japan,Japan,1750
4452,Q3201302,Kōno Bairei,38,1879.0,1844.0,Japan,Japan,1800
4453,Q952938,Ogata Kōrin,62,1693.0,1658.0,Japan,Japan,1650
4454,Q11425409,Bandō Mitsugorō I,3,1780.0,1745.0,Japan,Japan,1700
4455,Q43136852,Gion Seitoku,4,1816.0,1781.0,Japan,Japan,1750
4456,Q22117083,Maruyama Oshin,13,1825.0,1790.0,Japan,Japan,1750
4457,Q240176,Onitsura Uejima,15,1696.0,1661.0,Japan,Japan,1650
4458,Q6106811,John Reddie Black,23,1862.0,1827.0,Japan,Japan,1800
4459,Q2668015,Tankei,8,1208.0,1173.0,Japan,Japan,1150
4460,Q6537362,Hanawa Hokiichi,21,1781.0,1746.0,Japan,Japan,1700
4461,Q2444107,Torii Kiyoshige,7,1800.0,1800.0,Japan,Japan,1800
4462,Q6538413,Imamura Tomoaki,4,1659.0,1624.0,Japan,Japan,1600
4463,Q11463879,Ono Otsū,6,1603.0,1568.0,Japan,Japan,1550
4464,Q3347907,Obaku Dokuryu,16,1631.0,1596.0,Japan,Japan,1550
4465,Q11486662,Kenshunmon-in Chūnagon,8,1192.0,1157.0,Japan,Japan,1150
4466,Q11571444,Kanō Kazunobu,18,1851.0,1816.0,Japan,Japan,1800
4467,Q3574311,Yūshi Naishinnō-ke no Kii,5,1085.0,1050.0,Japan,Japan,1050
4468,Q11480207,Ichikawa Danjūrō III,2,1742.0,1721.0,Japan,Japan,1700
4469,Q923621,Konoe Nobuhiro,13,1634.0,1599.0,Japan,Japan,1550
4470,Q22129492,Mochizuki Kinpō,1,1881.0,1846.0,Japan,Japan,1800
4471,Q3088217,Shizuka Gozen,7,1200.0,1165.0,Japan,Japan,1150
4472,Q6565179,Muro Kyūsō,19,1693.0,1658.0,Japan,Japan,1650
4473,Q6273897,Noriaki Iwahashi,5,1870.0,1835.0,Japan,Japan,1800
4474,Q4770954,Antanas Strazdas,22,1795.0,1760.0,Japan,Japan,1750
4475,Q1343397,Kamo no Mabuchi,25,1732.0,1697.0,Japan,Japan,1650
4476,Q11587303,Tōemon Ishiguro,8,1795.0,1760.0,Japan,Japan,1750
4477,Q6560770,Amenomori Hōshū,14,1703.0,1668.0,Japan,Japan,1650
4478,Q7402732,Sakabe Kōhan,9,1794.0,1759.0,Japan,Japan,1750
4479,Q11474038,Iwai Hanshiro VIII,3,1864.0,1829.0,Japan,Japan,1800
4480,Q1049123,Ōtori Keisuke,11,1868.0,1833.0,Japan,Japan,1800
4481,Q11665005,Raijo,1,1089.0,1054.0,Japan,Japan,1050
4482,Q11545140,Utagawa Kunimori II,5,1862.0,1827.0,Japan,Japan,1800
4483,Q11542456,Yokoo Tōsaku,5,1874.0,1839.0,Japan,Japan,1800
4484,Q11597783,Tachihara Shunsa,1,1849.0,1814.0,Japan,Japan,1800
4485,Q11655791,Seki Shikyō,4,1732.0,1697.0,Japan,Japan,1650
4486,Q1324419,Shimooka Renjō,22,1858.0,1823.0,Japan,Japan,1800
4487,Q2972127,Chōbunsai Eishi,47,1791.0,1756.0,Japan,Japan,1750
4488,Q11540277,Yoshiyuki Mori,8,1870.0,1835.0,Japan,Japan,1800
4489,Q1553140,Kinoshita Katsutoshi,12,1604.0,1569.0,Japan,Japan,1550
4490,Q11383405,Satake Eison,1,1880.0,1845.0,Japan,Japan,1800
4491,Q62390273,Nakamura Noshio II,1,1794.0,1759.0,Japan,Japan,1750
4492,Q37585073,Tsurusawa Tansen,1,1790.0,1755.0,Japan,Japan,1750
4493,Q11594502,Kingorō Kosan II,1,1883.0,1848.0,Japan,Japan,1800
4494,Q700470,Katsu Kaishū,32,1858.0,1823.0,Japan,Japan,1800
4495,Q60229746,Seiichi Asakura,2,1875.0,1840.0,Japan,Japan,1800
4496,Q2279282,Shiraishi Nagatada,6,1831.0,1796.0,Japan,Japan,1750
4497,Q3020437,Nakagawa Jun'an,11,1774.0,1739.0,Japan,Japan,1700
4498,Q11609190,Susumu Misawa,1,1884.0,1849.0,Japan,Japan,1800
4499,Q17990267,Mitate Kawabe,8,1873.0,1838.0,Japan,Japan,1800
4500,Q11113974,Liang Tingnan,12,1831.0,1796.0,China,Chinese world,1750
4501,Q7210422,Fei Mi,5,1660.0,1625.0,China,Chinese world,1600
4502,Q11064033,Kang Shaoyong,4,1805.0,1770.0,China,Chinese world,1750
4503,Q10910066,Lu Wenchao,21,1752.0,1717.0,China,Chinese world,1700
4504,Q717343,Zhang Xu,5,705.0,670.0,China,Chinese world,650
4505,Q45454448,Feng Xian,4,1697.0,1662.0,China,Chinese world,1650
4506,Q265470,Xavier Ehrenbert Fridelli,13,1708.0,1673.0,China,Chinese world,1650
4507,Q818328,Bento de Góis,21,1597.0,1562.0,China,Chinese world,1550
4508,Q10564133,Qian Hui'an,7,1868.0,1833.0,China,Chinese world,1800
4509,Q10329983,Zhu Shizhi,2,1649.0,1614.0,China,Chinese world,1600
4510,Q45477808,Wu Si,4,1697.0,1662.0,China,Chinese world,1650
4511,Q16076505,Guo Lin,15,1802.0,1767.0,China,Chinese world,1750
4512,Q10900194,Liu Lian,5,1379.0,1347.0,China,Chinese world,1300
4513,Q18234498,Li Shishi,4,1478.0,1443.0,China,Chinese world,1400
4514,Q2962606,Chen Zhengkui,14,1639.0,1604.0,China,Chinese world,1600
4515,Q6538730,Li Daoyuan,22,436.0,401.0,China,Chinese world,400
4516,Q45444825,Qian Mengdian,5,1774.0,1739.0,China,Chinese world,1700
4517,Q11177591,Huang Yi,21,1779.0,1744.0,China,Chinese world,1700
4518,Q3082969,Xu Gu,31,1859.0,1824.0,China,Chinese world,1800
4519,Q30944624,Wang Shangchen,2,1860.0,1825.0,China,Chinese world,1800
4520,Q718118,Du Shenyan,15,680.0,645.0,China,Chinese world,600
4521,Q298052,Cai Yan,23,212.0,177.0,China,Chinese world,150
4522,Q45451558,Gu Changren,3,1697.0,1662.0,China,Chinese world,1650
4523,Q45701172,Zhang Yizao,2,1865.0,1839.0,China,Chinese world,1800
