,individual_wikidata_id,birthyear,classification,region_name
209,Q3154783,1695,Middle Class,United Kingdom
210,Q18730801,1814,,United Kingdom
211,Q5343370,1780,,United Kingdom
212,Q459275,1783,Middle Class,United Kingdom
213,Q12407875,1569,Middle Class,United Kingdom
214,Q27050377,1777,Elite,United Kingdom
215,Q378629,1799,Middle Class,United Kingdom
216,Q19569430,1653,,United Kingdom
217,Q63346426,1819,,United Kingdom
218,Q7412509,1767,,United Kingdom
219,Q591177,1825,Middle Class,United Kingdom
220,Q4958855,1805,,United Kingdom
221,Q6254407,1772,,United Kingdom
222,Q2794279,1583,Middle Class,United Kingdom
223,Q64685834,1803,Middle Class,United Kingdom
224,Q11803699,1786,,United Kingdom
225,Q4222966,1815,Middle Class,United Kingdom
226,Q27924480,1850,,United Kingdom
227,Q16859118,1822,,United Kingdom
228,Q18670641,1845,Middle Class,United Kingdom
229,Q17479409,1807,,United Kingdom
230,Q807952,1844,Middle Class,United Kingdom
231,Q5915247,1803,Middle Class,United Kingdom
232,Q61766799,1785,,United Kingdom
233,Q2698450,1792,Middle Class,United Kingdom
234,Q16859233,1785,,United Kingdom
235,Q20746777,1801,Middle Class,United Kingdom
236,Q4669181,1617,,United Kingdom
237,Q6779364,1848,Middle Class,United Kingdom
238,Q472546,1846,Middle Class,United Kingdom
239,Q16065358,1812,,United Kingdom
240,Q18911333,1843,Middle Class,United Kingdom
241,Q560455,1566,Middle Class,United Kingdom
242,Q311913,1583,Middle Class,United Kingdom
243,Q1680984,1777,Middle Class,United Kingdom
244,Q5496477,1817,,United Kingdom
245,Q20746794,1836,,United Kingdom
246,Q19874871,1700,,United Kingdom
248,Q5345775,1823,Middle Class,United Kingdom
249,Q18877950,1800,Middle Class,United Kingdom
250,Q2642460,1848,,United Kingdom
251,Q18528586,1847,,United Kingdom
252,Q18735376,1814,Middle Class,United Kingdom
253,Q15103444,1823,,United Kingdom
254,Q18756858,1804,,United Kingdom
255,Q18546616,1808,Middle Class,United Kingdom
256,Q337339,1741,,United Kingdom
257,Q708275,1800,Middle Class,United Kingdom
258,Q3305906,1791,Middle Class,United Kingdom
259,Q32792,1824,Middle Class,United Kingdom
260,Q15994581,1675,,United Kingdom
261,Q20821019,1708,,United Kingdom
262,Q21461422,1835,,United Kingdom
263,Q64685947,1810,Middle Class,United Kingdom
264,Q6283527,1821,Middle Class,United Kingdom
265,Q7789909,1796,,United Kingdom
266,Q21938068,1807,,United Kingdom
267,Q8008651,1773,Elite,United Kingdom
268,Q445128,1682,Middle Class,United Kingdom
269,Q19874628,1686,,United Kingdom
270,Q2497586,1848,Middle Class,United Kingdom
271,Q449519,1817,Middle Class,United Kingdom
272,Q969521,1823,Elite,United Kingdom
273,Q16524116,1825,,United Kingdom
274,Q7025420,1557,Middle Class,United Kingdom
275,Q7287614,1721,Middle Class,United Kingdom
276,Q5537967,1844,Middle Class,United Kingdom
277,Q809319,1600,,United Kingdom
278,Q94507305,1776,,United Kingdom
279,Q5362193,1787,,United Kingdom
280,Q18880330,1780,,United Kingdom
281,Q1133984,1530,Elite,United Kingdom
282,Q57563291,1844,,United Kingdom
283,Q280411,1779,Middle Class,United Kingdom
284,Q21289865,1830,,United Kingdom
285,Q61746158,1821,Elite,United Kingdom
286,Q1038707,1819,,United Kingdom
287,Q18912576,1824,,United Kingdom
288,Q6128944,1759,,United Kingdom
289,Q320705,1550,,United Kingdom
290,Q55823808,1835,Middle Class,United Kingdom
291,Q352908,1796,Middle Class,United Kingdom
292,Q5537836,1846,Middle Class,United Kingdom
293,Q6254676,1588,,United Kingdom
294,Q3434598,1766,Subsistence,United Kingdom
295,Q110659790,1758,,United Kingdom
296,Q18757048,1573,,United Kingdom
297,Q1006241,1696,Elite,United Kingdom
298,Q575043,1835,Middle Class,United Kingdom
299,Q5717157,1560,Middle Class,United Kingdom
300,Q15485605,1803,,United Kingdom
301,Q5482047,1753,,United Kingdom
302,Q7782307,1759,Middle Class,United Kingdom
303,Q18162312,1792,,United Kingdom
304,Q105523525,1808,,United Kingdom
305,Q6250702,1759,Middle Class,United Kingdom
306,Q1293089,1726,Middle Class,United Kingdom
307,Q21452819,1820,,United Kingdom
309,Q331198,1756,Subsistence,United Kingdom
310,Q20733402,1843,,United Kingdom
311,Q15438635,1801,Middle Class,United Kingdom
312,Q2850561,1780,Middle Class,United Kingdom
313,Q333469,1781,Elite,United Kingdom
314,Q1232386,1764,Middle Class,United Kingdom
315,Q218254,1753,Middle Class,United Kingdom
316,Q26488606,1765,Elite,United Kingdom
317,Q6221434,1799,,United Kingdom
318,Q56425634,1815,,United Kingdom
319,Q6223077,1808,,United Kingdom
320,Q64685497,1818,,United Kingdom
321,Q15976246,1824,Middle Class,United Kingdom
322,Q18526511,1721,,United Kingdom
323,Q9184478,1730,Middle Class,United Kingdom
324,Q21464429,1737,,United Kingdom
325,Q2871726,1836,,United Kingdom
326,Q1708648,1822,Middle Class,United Kingdom
327,Q3809561,1587,Middle Class,United Kingdom
328,Q5363459,1750,Middle Class,United Kingdom
329,Q432189,1734,,United Kingdom
330,Q327480,1812,Middle Class,United Kingdom
331,Q2736244,1648,Elite,United Kingdom
332,Q61314385,1812,Elite,United Kingdom
333,Q60497117,1814,Elite,United Kingdom
334,Q18810929,1801,,United Kingdom
335,Q18674017,1794,Middle Class,United Kingdom
336,Q5363233,1737,,United Kingdom
337,Q443320,1718,Elite,United Kingdom
338,Q108937384,1844,,United Kingdom
339,Q21460162,1818,,United Kingdom
340,Q2426055,1832,Middle Class,United Kingdom
341,Q8008079,1828,Middle Class,United Kingdom
342,Q15440636,1779,Middle Class,United Kingdom
343,Q60196944,1845,Elite,United Kingdom
344,Q330323,1832,Middle Class,United Kingdom
345,Q18672611,1800,,United Kingdom
346,Q633167,1835,Middle Class,United Kingdom
347,Q1334667,1616,Middle Class,United Kingdom
348,Q4154159,1817,Elite,United Kingdom
349,Q21461028,1774,,United Kingdom
350,Q18674013,1640,,United Kingdom
351,Q528261,1617,Middle Class,United Kingdom
352,Q7789400,1764,,United Kingdom
353,Q21458711,1847,,United Kingdom
354,Q16030872,1830,Middle Class,United Kingdom
355,Q3568771,1536,Middle Class,United Kingdom
356,Q16644475,1842,Middle Class,United Kingdom
357,Q7792239,1754,Middle Class,United Kingdom
358,Q3867122,1802,Middle Class,United Kingdom
359,Q1150254,1776,Middle Class,United Kingdom
360,Q18813345,1622,,United Kingdom
361,Q19197226,1829,,United Kingdom
362,Q2739357,1808,Middle Class,United Kingdom
363,Q4718533,1722,Middle Class,United Kingdom
364,Q16737330,1809,,United Kingdom
365,Q52231962,1792,Middle Class,United Kingdom
366,Q1378093,1730,Middle Class,United Kingdom
367,Q27206748,1850,Middle Class,United Kingdom
368,Q50351431,1776,,United Kingdom
369,Q62127980,1808,,United Kingdom
370,Q749041,1848,Middle Class,United Kingdom
371,Q1398356,1502,Middle Class,United Kingdom
372,Q18674008,1792,,United Kingdom
373,Q325984,1689,Elite,United Kingdom
374,Q21463581,1786,,United Kingdom
375,Q72917301,1842,,United Kingdom
376,Q61155214,1833,,United Kingdom
377,Q22922864,1744,Middle Class,United Kingdom
378,Q504800,1754,Middle Class,United Kingdom
379,Q72084562,1815,,United Kingdom
380,Q20141702,1617,Middle Class,United Kingdom
381,Q8012087,1829,Middle Class,United Kingdom
382,Q21289814,1809,,United Kingdom
383,Q21464912,1842,,United Kingdom
384,Q374718,1575,,United Kingdom
385,Q18592939,1826,,United Kingdom
386,Q6536798,1814,Elite,United Kingdom
387,Q23649160,1768,,United Kingdom
388,Q4216193,1717,Middle Class,United Kingdom
389,Q159430,1821,Middle Class,United Kingdom
390,Q17309169,1814,Middle Class,United Kingdom
391,Q18527064,1779,,United Kingdom
392,Q374362,1813,Elite,United Kingdom
393,Q107240425,1832,,United Kingdom
394,Q5078453,1772,Middle Class,United Kingdom
395,Q64355492,1828,,United Kingdom
396,Q64685921,1835,Middle Class,United Kingdom
397,Q1960767,1805,Middle Class,United Kingdom
398,Q60286162,1839,,United Kingdom
399,Q6151162,1829,Middle Class,United Kingdom
400,Q20733492,1650,,United Kingdom
401,Q722912,1611,Middle Class,United Kingdom
402,Q87411281,1650,,United Kingdom
403,Q18917637,1801,,United Kingdom
404,Q333772,1661,Elite,United Kingdom
405,Q5601557,1800,Middle Class,United Kingdom
406,Q15434090,1752,Elite,United Kingdom
407,Q18762006,1810,,United Kingdom
408,Q1400074,1724,,United Kingdom
409,Q21608219,1848,,United Kingdom
410,Q435537,1805,Elite,United Kingdom
411,Q18530482,1633,,United Kingdom
412,Q56761420,1813,,United Kingdom
413,Q314325,1503,Elite,United Kingdom
414,Q21166882,1793,,United Kingdom
415,Q81243871,1843,,United Kingdom
416,Q2076898,1779,Middle Class,United Kingdom
417,Q21463707,1849,,United Kingdom
418,Q6223488,1809,Middle Class,United Kingdom
419,Q18593228,1526,,United Kingdom
420,Q5542725,1820,Middle Class,United Kingdom
421,Q18671992,1644,,United Kingdom
422,Q16059778,1820,,United Kingdom
423,Q4722946,1834,Middle Class,United Kingdom
424,Q11687759,1686,,United Kingdom
425,Q13478522,1795,Middle Class,United Kingdom
426,Q2959562,1821,Middle Class,United Kingdom
427,Q5717133,1828,Middle Class,United Kingdom
428,Q6219500,1822,Middle Class,United Kingdom
429,Q20008647,1833,,United Kingdom
430,Q565156,1811,Middle Class,United Kingdom
431,Q21460391,1793,,United Kingdom
432,Q30530887,1777,,United Kingdom
433,Q16065831,1775,Middle Class,United Kingdom
434,Q81550186,1832,,United Kingdom
435,Q1363211,1674,Middle Class,United Kingdom
436,Q18530285,1820,,United Kingdom
437,Q18389435,1825,Middle Class,United Kingdom
438,Q7327422,1752,Middle Class,United Kingdom
439,Q5723837,1835,Middle Class,United Kingdom
440,Q64685660,1816,,United Kingdom
441,Q6218080,1799,Middle Class,United Kingdom
442,Q7325764,1822,Middle Class,United Kingdom
443,Q257668,1694,Middle Class,United Kingdom
444,Q21166850,1644,,United Kingdom
445,Q96377878,1832,Middle Class,United Kingdom
446,Q5231197,1840,Middle Class,United Kingdom
447,Q42296686,1769,,United Kingdom
448,Q19408982,1842,,United Kingdom
449,Q3184614,1730,,United Kingdom
450,Q453690,1826,Middle Class,United Kingdom
451,Q7412567,1812,Middle Class,United Kingdom
452,Q29001064,1800,,United Kingdom
453,Q5546422,1788,Middle Class,United Kingdom
