,region_name,year,log_wellbeing_std,N_est_log_std,N_est,wellbeing_weighted
76,Low countries,1880,3.6656892130106957,1.2811201343748055,12123.348090398833,2.095771279440192
77,Nordic countries,1820,0.9474709547312373,1.1822107258154055,5866.037151638668,1.210759197806852
78,Nordic countries,1830,0.8222220404862925,1.1724625197287104,5460.997849306194,1.180532996140229
79,Nordic countries,1840,1.2266064981154399,1.2427015097829053,9144.535396276244,1.2809362826787352
80,Nordic countries,1850,1.9911615327846341,1.2539411603872186,9930.897264015694,1.494687550498484
81,Nordic countries,1860,2.2150984156437503,1.2903301382700112,12971.190490372064,1.5638003604193584
82,Nordic countries,1870,2.954358775087701,1.2904435661981577,12981.993681392483,1.8154604892483281
83,Nordic countries,1880,3.219044753528121,1.3478722720119518,19787.809958965903,1.915092984466353
105,Persian world,1820,-0.9270666254915905,0.741266838073744,230.57818635263317,0.8293367678
106,Persian world,1830,-2.5767193269882673,0.693047147574086,161.85122569558564,0.5944537323
107,Persian world,1840,-2.476233207132965,0.6966120268741596,166.14190679964244,0.60663426
108,Persian world,1850,-1.6972323976804857,0.7230192771516261,201.67560835423035,0.7099310611
109,Persian world,1860,-1.2041158620133325,0.8282700680538783,436.66115159493035,0.7842310993
110,Persian world,1870,-0.86293187646752,0.7542293118124347,253.59263218848355,0.840142857
111,Persian world,1880,-1.3032760225231,0.8903498001962455,688.6938882316256,0.7686903377000001
112,Portugal,1820,1.3754615080736698,0.8597749454225193,550.2596084231063,1.3200079474
113,Portugal,1830,1.6675628684510397,0.7891438245716942,327.6634970989206,1.4001769168999998
114,Portugal,1840,1.4270797299011504,0.9585338189530608,1135.966604482144,1.3338332336
115,Portugal,1850,1.7453010754300107,0.8810042569173121,643.0384311518488,1.4223210836
116,Portugal,1860,1.6105206833209234,0.9829378194996857,1358.7961545030248,1.3841477364
117,Portugal,1870,0.2811536652121835,0.9392552879215437,986.0852478275981,1.0583922818
118,Portugal,1880,0.7212738570035941,1.0466470647464778,2168.853020232981,1.156721343
140,Spain,1820,2.201023546411489,1.1144816697921693,3568.2533835238346,1.5593638757000001
141,Spain,1830,1.4137359955049198,1.026955450243573,1876.9914692621721,1.3302454663
142,Spain,1840,2.146838609147503,1.2157857530658345,7505.274401671756,1.542401632
143,Spain,1850,2.217809651574537,1.2120470410758022,7302.125260212515,1.5646564073
144,Spain,1860,2.1813195801583043,1.2624130023019793,10568.000618917862,1.5531742007
145,Spain,1870,1.7160526749017382,1.2443676873102232,9257.05094860068,1.4139487121
146,Spain,1880,1.688514563144269,1.3162941537786024,15694.272664260892,1.4061109617
147,United Kingdom,1820,1.4193632988570624,1.2322056879959626,8466.536522120427,1.3317573169
148,United Kingdom,1830,1.583548194860744,1.2156419127071918,7497.355051766423,1.3766323408
149,United Kingdom,1840,1.9666112437984329,1.2830741647035746,12298.47113569014,1.4872989619
150,United Kingdom,1850,2.17183068204744,1.2835787381595647,12344.10123106204,1.5502021912
151,United Kingdom,1860,2.5676445937809413,1.3144215026636157,15480.03869336164,1.6791381429
152,United Kingdom,1870,2.8745436390911157,1.2770280273534547,11764.644742003877,1.7864464335
153,United Kingdom,1880,3.4727539666717187,1.3404254435687333,18735.30044625974,2.015722192
