,region_name,decade,N_est,N_est_min,N_est_max,score
77,Persian world,1550,56.53315007698271,46.50702849034233,71.37751447057413,4
78,Persian world,1560,62.62855380240118,51.64015000593982,79.0000362881974,5
79,Persian world,1570,57.84822513358927,47.643812337135294,73.01545195054594,4
80,Persian world,1580,49.30350730897517,40.6453645874423,62.105910244191925,4
81,Persian world,1600,162.92809115037136,134.04181419943777,205.51319032252758,11
82,Persian world,1610,44.653511091930405,36.727480047142976,56.33434487477986,3
83,Persian world,1620,29.870966736232862,24.551514716360927,37.65531516319817,2
84,Persian world,1630,59.863105503442306,49.24412281842925,75.39661069040821,4
85,Persian world,1640,74.8833920368236,61.551679282674186,94.26649710502886,5
86,Persian world,1650,29.939142254664127,24.597846748881786,37.71752436250697,2
87,Persian world,1660,35.51873294516791,29.244762544379114,44.674193878901754,3
88,Persian world,1670,29.814373102806034,24.471422888002593,37.5817199566549,2
89,Persian world,1680,111.51396262005959,91.57235413120071,140.37562761971614,8
90,Persian world,1690,35.154334654650434,28.90942609925449,44.14628674859949,3
91,Persian world,1700,121.05389875002103,97.66305557930826,155.954043604733,3
92,Persian world,1720,29.084776151641872,23.84308402148284,36.62920602234598,2
93,Persian world,1740,105.83827558803883,86.8679617136281,133.12632608440975,8
94,Persian world,1750,28.485623227035443,23.33177115131984,35.86841506571475,2
95,Persian world,1760,56.554342041095325,46.31686283544284,71.1888975456491,4
96,Persian world,1770,129.34263167494103,104.23509264219481,166.2785238027951,4
97,Persian world,1780,13.932081305818969,11.408603568670824,17.56573620368638,1
98,Persian world,1790,13.832482048888831,11.33916284175932,17.43475167666767,1
99,Persian world,1800,123.63325361120152,101.44356711696868,155.73101083693928,9
100,Persian world,1810,109.17557392779933,89.54462053131753,137.4937677575351,8
101,Persian world,1820,230.57818635263317,189.11906083893788,290.4905417859171,17
102,Persian world,1830,161.85122569558564,132.7523321293299,203.80957054963017,12
103,Persian world,1840,166.14190679964244,136.58879625090708,209.0693313472392,13
104,Persian world,1850,201.67560835423035,165.6891427292507,254.79350464170074,14
